OBJECTID,GEOID,B00001e1,B00001m1,B00002e1,B00002m1
2265,14000US17111871206,338,-1,126,-1
2266,14000US17111871207,452,-1,172,-1
2267,14000US17111871208,397,-1,137,-1
2268,14000US17111871209,290,-1,146,-1
2269,14000US17111871301,440,-1,175,-1
2270,14000US17111871304,288,-1,127,-1
2271,14000US17111871305,438,-1,148,-1
2272,14000US17111871306,504,-1,175,-1
2273,14000US17111871307,451,-1,165,-1
2274,14000US17111871310,434,-1,164,-1
2275,14000US17111871311,376,-1,159,-1
2276,14000US17111871402,349,-1,138,-1
2277,14000US17111871404,473,-1,183,-1
2278,14000US17111871500,624,-1,264,-1
2279,14000US17111871600,767,-1,294,-1
2280,14000US17113000102,383,-1,136,-1
2281,14000US17113000104,727,-1,215,-1
2282,14000US17113000105,381,-1,172,-1
2283,14000US17113000200,475,-1,55,-1
2284,14000US17113000301,335,-1,142,-1
2285,14000US17113000302,351,-1,133,-1
2286,14000US17113000400,294,-1,99,-1
2287,14000US17113000501,226,-1,114,-1
2288,14000US17113000502,270,-1,123,-1
2289,14000US17113000504,292,-1,129,-1
2290,14000US17113000505,626,-1,217,-1
2291,14000US17113001103,276,-1,136,-1
2292,14000US17113001104,467,-1,203,-1
2293,14000US17113001105,465,-1,190,-1
2294,14000US17113001106,293,-1,130,-1
2295,14000US17113001200,246,-1,130,-1
2296,14000US17113001301,260,-1,129,-1
2297,14000US17113001302,409,-1,63,-1
2298,14000US17113001303,225,-1,111,-1
2299,14000US17113001402,320,-1,121,-1
2300,14000US17113001403,366,-1,148,-1
2301,14000US17113001404,375,-1,160,-1
2302,14000US17113001500,310,-1,138,-1
2303,14000US17113001600,233,-1,108,-1
2304,14000US17113001700,190,-1,107,-1
2305,14000US17113001800,343,-1,160,-1
2306,14000US17113002101,250,-1,120,-1
2307,14000US17113002102,261,-1,108,-1
2308,14000US17113005101,572,-1,200,-1
2309,14000US17113005102,1203,-1,501,-1
2310,14000US17113005201,172,-1,74,-1
2311,14000US17113005202,654,-1,249,-1
2312,14000US17113005400,1219,-1,444,-1
2313,14000US17113005501,236,-1,102,-1
2314,14000US17113005502,590,-1,222,-1
2315,14000US17113005601,546,-1,245,-1
2316,14000US17113005602,670,-1,297,-1
2317,14000US17113005700,852,-1,386,-1
2318,14000US17113005800,223,-1,133,-1
2319,14000US17113005900,244,-1,122,-1
2320,14000US17113006000,696,-1,284,-1
2321,14000US17115000200,199,-1,90,-1
2322,14000US17115000300,318,-1,139,-1
2323,14000US17115000400,179,-1,80,-1
2324,14000US17115000500,231,-1,144,-1
2325,14000US17115000600,232,-1,133,-1
2326,14000US17115000900,235,-1,104,-1
2327,14000US17115001000,143,-1,76,-1
2328,14000US17115001100,317,-1,160,-1
2329,14000US17115001200,223,-1,112,-1
2330,14000US17115001300,396,-1,176,-1
2331,14000US17115001400,231,-1,110,-1
2332,14000US17115001500,386,-1,175,-1
2333,14000US17115001600,371,-1,97,-1
2334,14000US17115001700,338,-1,151,-1
2335,14000US17115001801,358,-1,164,-1
2336,14000US17115001802,211,-1,89,-1
2337,14000US17115001900,200,-1,111,-1
2338,14000US17115002000,438,-1,184,-1
2339,14000US17115002100,188,-1,93,-1
2340,14000US17115002200,594,-1,261,-1
2341,14000US17115002300,547,-1,230,-1
2342,14000US17115002401,234,-1,120,-1
2343,14000US17115002402,338,-1,145,-1
2344,14000US17115002500,389,-1,159,-1
2345,14000US17115002601,411,-1,174,-1
2346,14000US17115002602,451,-1,182,-1
2347,14000US17115002700,485,-1,209,-1
2348,14000US17115002800,904,-1,396,-1
2349,14000US17115002901,423,-1,166,-1
2350,14000US17115002902,251,-1,116,-1
2351,14000US17115002903,270,-1,109,-1
2352,14000US17115002904,308,-1,137,-1
2353,14000US17115003000,794,-1,358,-1
2354,14000US17115003100,276,-1,93,-1
2355,14000US17117956000,259,-1,125,-1
2356,14000US17117956100,415,-1,198,-1
2357,14000US17117956200,644,-1,305,-1
2358,14000US17117956300,542,-1,200,-1
2359,14000US17117956400,323,-1,131,-1
2360,14000US17117956500,422,-1,195,-1
2361,14000US17117956600,730,-1,313,-1
2362,14000US17117956700,652,-1,312,-1
2363,14000US17117956800,552,-1,265,-1
2364,14000US17117956900,428,-1,192,-1
2365,14000US17117957000,921,-1,424,-1
