OBJECTID,GEOID,NAMELSAD,ALAND,AWATER,INTPTLAT,INTPTLON,Id,Id2,Geography,"Total; Est",Households,"Total; E_1",Househol_1,"Total; E_2",Househol_2,"Total; E_3",Househol_3,Househol_4,Id_2,Id2_2,Geography_,"Total; E_4","Total; E_5","Total; E_6","Total; E_7","Total; E_8","Total; E_9","Total; E10","Total; E11","Total; E12","Total; E13","Total; E14","Total; E15","Total; E16","Total; E17","Total; E18","Total; E19","Total; E20","Total; E21","Total; E22","Total; E23","Total; E24","Total; E25","Total; E26","Total; E27","Total; E28","Total; E29",_count,_sum,_mean
617.00000,17031480200,Census Tract 4802,286026.00000,0.00000,+41.7351237,-87.5898841,1400000US17031480200,17031480200,"Census Tract 4802, Cook County, Illinois",602,43,55,42,547,58,33.9,12.1,70.9,1400000US17031480200,17031480200,"Census Tract 4802, Cook County, Illinois",1365,286,439,210,926,144,3.7,4.6,0,7.1,5.4,6.8,1.1,2.3,0,7.1,1.6,3.3,2,2.8,6.2,8.2,0,3.4,4.7,5.3,14466.000000000000000,470.497784692794085,0.032524387162505
1375.00000,17031834300,Census Tract 8343,1911650.00000,0.00000,+41.7458348,-87.5917880,1400000US17031834300,17031834300,"Census Tract 8343, Cook County, Illinois",2555,172,494,177,2061,235,41.2,5.3,27.7,1400000US17031834300,17031834300,"Census Tract 8343, Cook County, Illinois",6404,689,2900,399,3504,471,3.3,1.8,6.3,3.3,0.8,0.9,4.9,2,6.8,3.1,3.3,2.6,9.2,2.9,13,5.6,5.9,3.2,10.2,2.8,96707.000000000000000,32708.209112907632516,0.338219664687227
582.00000,17031430101,Census Tract 4301.01,327083.00000,0.00000,+41.7698532,-87.5739530,1400000US17031430101,17031430101,"Census Tract 4301.01, Cook County, Illinois",1777,172,617,156,1160,181,18.3,5,12.6,1400000US17031430101,17031430101,"Census Tract 4301.01, Cook County, Illinois",4296,638,2034,382,2262,355,11.5,3.9,16.9,7.4,6.7,3.8,8.5,3.4,12.4,6.3,4.9,2.9,8.4,3.6,11.8,5.9,5.2,6.1,4.8,3.4,16528.000000000000000,614.127273857593536,0.037156780848112
583.00000,17031430102,Census Tract 4301.02,454085.00000,542570.00000,+41.7689528,-87.5638143,1400000US17031430102,17031430102,"Census Tract 4301.02, Cook County, Illinois",1785,152,427,141,1358,192,30.9,8.1,30.9,1400000US17031430102,17031430102,"Census Tract 4301.02, Cook County, Illinois",3132,597,1505,392,1627,310,7.5,2.9,10.9,5.2,4.4,3.8,5.5,4.4,6.8,5.8,4.2,4.3,5.5,3.6,3.5,5.6,7.4,5.1,4.3,3,50367.000000000000000,3526.837867474183440,0.070022790070367
584.00000,17031430200,Census Tract 4302,661348.00000,0.00000,+41.7697613,-87.5813509,1400000US17031430200,17031430200,"Census Tract 4302, Cook County, Illinois",2477,174,742,217,1735,225,32.5,6.2,30.6,1400000US17031430200,17031430200,"Census Tract 4302, Cook County, Illinois",4834,627,2165,425,2669,384,9.2,2.9,11.3,5.2,7.4,4,6.1,2.6,6.9,3.7,5.4,3.2,7.6,2.8,7.3,3.8,7.9,3.8,6.6,4.3,33495.000000000000000,1975.578138260112610,0.058981284915961
412.00000,17031230400,Census Tract 2304,338516.00000,0.00000,+41.9118202,-87.7215520,1400000US17031230400,17031230400,"Census Tract 2304, Cook County, Illinois",709,87,240,91,469,101,29.1,13.2,45.4,1400000US17031230400,17031230400,"Census Tract 2304, Cook County, Illinois",2618,658,1409,390,1209,296,6.1,3.6,5.5,3.8,6.9,5.5,5.8,2.9,5.7,3.4,5.9,4.2,11.3,3.6,10.4,5.8,12.3,6.6,10.3,4.7,17101.000000000000000,175.607167499096533,0.010268824483895
356.00000,17031180100,Census Tract 1801,1062791.00000,0.00000,+41.9344789,-87.7986731,1400000US17031180100,17031180100,"Census Tract 1801, Cook County, Illinois",2091,93,137,94,1954,128,35.9,8.2,16.8,1400000US17031180100,17031180100,"Census Tract 1801, Cook County, Illinois",6223,521,2934,286,3289,368,6.6,2.6,7.2,3.6,6.1,2.9,7,2.3,5.9,3.5,8,3.7,5.2,2.1,5.5,3.7,5,2.5,4,2.1,53762.000000000000000,1287.955670079104266,0.023956617500820
1051.00000,17031810701,Census Tract 8107.01,629767.00000,0.00000,+41.9309116,-87.8114750,1400000US17031810701,17031810701,"Census Tract 8107.01, Cook County, Illinois",1834,117,101,62,1733,122,27.5,5.1,0,1400000US17031810701,17031810701,"Census Tract 8107.01, Cook County, Illinois",5021,457,2245,270,2776,332,7.9,2.7,6.8,2.8,8.8,4.1,7.4,2.2,4.3,3,10,3.9,4.4,2,1,1.2,7.1,3.3,5.9,3,0.000030077028375,0.000000262989854,0.008743877585460
1052.00000,17031810702,Census Tract 8107.02,686174.00000,0.00000,+41.9252753,-87.8159951,1400000US17031810702,17031810702,"Census Tract 8107.02, Cook County, Illinois",1699,82,65,41,1634,87,31.4,5.6,41.5,1400000US17031810702,17031810702,"Census Tract 8107.02, Cook County, Illinois",4158,291,2025,206,2133,173,6.6,3.1,9.9,5.6,3.5,2.3,3.3,2.2,4.2,3.2,2.5,2,3.1,1.5,1.1,1.1,5,2.9,5.5,2.2,0.000014722910061,0.000004553879360,0.309305656359698
1054.00000,17031810900,Census Tract 8109,1065680.00000,0.00000,+41.9165283,-87.8100724,1400000US17031810900,17031810900,"Census Tract 8109, Cook County, Illinois",2535,156,101,67,2434,176,33.3,5.7,11.9,1400000US17031810900,17031810900,"Census Tract 8109, Cook County, Illinois",6222,444,3016,298,3206,342,4.5,2.1,4.6,3,4.4,3,6.3,2.2,5.5,3.1,7,3.8,3.4,2,3.6,2.8,3.2,2.5,4.4,2,0.000092973402665,0.000055560899248,0.597599933484580
1357.00000,17031831600,Census Tract 8316,1488846.00000,0.00000,+41.9256105,-87.7976148,1400000US17031831600,17031831600,"Census Tract 8316, Cook County, Illinois",2345,110,314,114,2031,148,43.7,5,35.4,1400000US17031831600,17031831600,"Census Tract 8316, Cook County, Illinois",6848,426,3356,275,3492,308,5.2,1.7,7.2,2.9,3.3,1.7,4,1.6,3.5,1.9,4.5,2.6,7.5,2.2,10.3,3.1,4.9,2.1,9.9,2.6,75316.000000000000000,42544.166328312363476,0.564875542093478
