,GEOID,weight_max,weight_median,total_pop,pov_rate,pop_vulnerable,uninsured_rate,vulner_rate,max_composite,med_composite
180,17031160602,801130.1455490426,46359.33835224817,3909,1.0981248394554328,468,1.1830551989730425,0.11972371450498849,124606.29424205927,7210.645346054812
181,17031160700,825652.4856416777,49170.32928898789,6161,1.1046725841567577,1062,1.1836191110371233,0.17237461451063138,186087.04745348415,11082.097563834252
182,17031160800,1035281.5644690818,112351.42124315166,5275,1.0822748815165877,743,1.2360189573459714,0.14085308056872037,195068.67815765782,21169.35525870683
183,17031160900,858577.858594363,207459.50391199,2492,1.0598153352067443,421,1.1120064464141821,0.1689406099518459,170942.97053895777,41305.21595713433
184,17031161000,551519.6447969282,134905.57525821315,1932,1.089544513457557,380,1.0859213250517599,0.19668737060041408,128345.54567554028,31394.221102610623
185,17031161100,752337.9059951042,189762.3440018702,1820,1.0203296703296703,282,1.0186813186813186,0.15494505494505495,121162.86160874102,30560.93338064309
186,17031161200,466203.8675505658,141895.8919926339,2948,1.1250425894378195,471,1.255427408412483,0.15976933514246947,105203.42265034888,32020.183736528503
187,17031161300,610332.3472591692,146584.2190544261,3817,1.1053609341825903,635,1.3219214437367304,0.16636101650510873,148363.71945863563,35632.68447185738
188,17031170100,1655182.751885155,210649.20307598167,1894,1.145381984036488,621,1.0826681870011403,0.32787750791974657,672981.7714498673,85647.98882728645
189,17031170200,1259562.8955484992,469337.1384548282,4023,1.102411135968183,896,1.1904051702709422,0.22271936365896097,368142.73273963254,137176.99793920832
190,17031170300,2657612.287528599,504237.4590395653,5203,1.1841092727972298,1159,1.0961908426317815,0.22275610224870268,768420.9290576583,145795.0125227535
191,17031170400,818693.760066991,120715.57477526332,3867,1.182053271269718,872,1.1241272304111714,0.22549780191362814,245310.59761545897,36170.80187247347
192,17031170500,1256171.2242135964,232753.20395490152,5316,1.0376222723852522,1152,1.1371331828442437,0.21670428893905191,321193.6609857339,59513.2671752097
193,17031170600,474608.35957083566,87998.88604889736,2737,1.0606503470953599,667,1.0861121289849762,0.24369747899159663,133239.60054932706,24704.445653976898
194,17031170700,485591.61868818133,90035.33262220841,3043,1.1192901741702268,610,1.1160714285714286,0.20046007229707524,121600.04802768544,22546.31330051752
195,17031170800,523201.3891594445,76358.92300882714,3860,1.0795306388526726,778,1.16580310880829,0.20155440414507772,132715.41293306806,19369.226091929453
196,17031170900,132536.50434105142,17213.61934124447,1711,1.09048178613396,312,1.1209818819403858,0.18234950321449445,29543.170831909152,3837.0175776269202
197,17031171000,1931679.6846187068,511180.3842398906,7943,1.0890091904821855,1686,1.2256676370079738,0.21226236938184564,547283.5367647122,144827.63930230684
198,17031171100,1035352.09269493,438241.6511594794,3847,1.079655262470619,785,1.0813621003379257,0.2040551078762672,246656.05795766672,104404.05623414008
199,17031180100,1316750.8772257394,266219.16228894633,5621,1.1396526772793054,1115,1.1824080749819754,0.1983632805550614,351969.3130266326,71160.74671830446
200,17031190100,219716.90848637774,53709.99983848293,2593,1.2684149633629,488,1.246047049749325,0.18819899730042422,65354.663497539215,15976.0074455743
201,17031190200,435081.32820419536,109805.56746569485,5502,1.1923427529626254,937,1.1839331152308252,0.1703017084696474,104596.64032488348,26398.038024947502
202,17031190300,323290.31989969325,212590.31282663267,5100,1.1305970149253732,835,1.2271833202202989,0.16372549019607843,73438.91951225245,48292.20645271309
203,17031190401,1208409.4035520607,515949.41387211194,3917,1.1564102564102563,753,1.1889200919070717,0.1922389583865203,319389.1084385941,136368.20667866443
204,17031190402,520952.6685331302,391339.00778764655,5022,1.1463560334528076,862,1.2240143369175627,0.1716447630426125,125468.54169620672,94251.81514898782
205,17031190601,912385.6032503743,296644.0683905497,4778,1.1862025581882993,799,1.1871075763917958,0.1672247802427794,214846.35538584014,69853.02783547771
206,17031190602,520224.65171155427,187697.18167819537,5678,1.0869483213881554,762,1.2787610619469025,0.134202183867559,97039.55829905027,35011.89638765466
207,17031190701,223759.5349681717,70467.86779418761,2785,1.207899461400359,416,1.2556552962298024,0.14937163375224416,50693.3395407906,15964.689725130258
208,17031190702,420319.85273039405,137880.37977266882,5006,1.2916414904330313,902,1.2800639232920497,0.18018377946464242,125218.71434055426,41076.34644370553
209,17031190800,808274.6796379366,258389.64773072215,6948,1.1951640759930915,1133,1.2213586643638457,0.1630685089234312,192397.67633756285,61505.78394382137
210,17031190900,365030.5899390044,114592.66742046548,1994,1.2120285423037718,426,1.143430290872618,0.2136409227683049,108077.73777640477,33928.433950254184
211,17031191000,613293.0456523136,180446.8891048276,2649,1.280483201208003,423,1.20800302000755,0.159682899207248,151484.55465355064,44570.726553061366
212,17031191100,1327757.3121910554,366882.46173512615,7705,1.2440166493236213,1226,1.2294613887086308,0.1591174561972745,323130.2495380831,89286.51367469091
